nombre,ingredientes,categoria,carne,gluten,lacteos,azucar
Hamburguesa Vegana,"porotos negros, avena, cebolla, ajo, pan rallado",saludable,False,True,False,False
Ensalada Mediterránea,"tomate, pepino, aceitunas, queso feta, aceite de oliva",saludable,False,False,True,False
Wrap de Pollo,"pollo, tortilla, lechuga, tomate, mayonesa",principal,True,True,True,False
Guiso de Arroz,"arroz, carne, cebolla, zanahoria, pimiento",principal,True,False,False,False
Tacos de Pescado,"pescado, tortilla, repollo, limón, salsa tártara",principal,True,True,True,False
Pizza Vegetariana,"harina, tomate, mozzarella, berenjena, morrón",principal,False,True,True,False
Empanadas Árabes,"carne, cebolla, limón, comino, masa de empanadas",principal,True,True,False,False
Pan Casero Integral,"harina integral, levadura, agua, sal",saludable,False,True,False,False
Budín de Naranja,"harina, naranja, huevo, azúcar, aceite",postre,False,True,False,True
Tarta de Manzana,"manzana, harina, azúcar, manteca, huevo",postre,False,True,True,True
Helado de Frutilla,"frutilla, leche, azúcar, crema",postre,False,False,True,True
Cheesecake,"galletitas, manteca, queso crema, azúcar, frutilla",postre,False,True,True,True
Brownie,"chocolate, manteca, azúcar, huevo, harina",postre,False,True,True,True
Sopa de Calabaza,"calabaza, cebolla, zanahoria, sal, agua",saludable,False,False,False,False
Fideos con Pesto,"fideos, albahaca, ajo, aceite de oliva, queso parmesano",principal,False,True,True,False
Arroz Chaufa Vegano,"arroz, tofu, cebolla, pimiento, salsa de soja",saludable,False,False,False,False
Empanadas de Pollo,"pollo, cebolla, pimiento, huevo, masa de empanadas",principal,True,True,False,False
Lasaña de Verdura,"espinaca, berenjena, ricota, salsa de tomate",principal,False,True,True,False
Cazuela de Mariscos,"mariscos, arroz, cebolla, pimiento, ajo",principal,True,False,False,False
Pan de Avena,"avena, harina integral, miel, aceite, leche",saludable,False,True,True,True
Tostadas Francesas,"pan, huevo, leche, azúcar, canela",postre,False,True,True,True
Crepes de Espinaca,"harina, huevo, leche, espinaca",saludable,False,True,True,False
Smoothie de Mango,"mango, yogur, miel",saludable,False,False,True,True
Ensalada Thai,"zanahoria, pepino, maní, salsa de soja, lima",saludable,False,False,False,False
Muffins de Arándanos,"harina, azúcar, huevo, leche, arándanos",postre,False,True,True,True
Panqueques Integrales,"harina integral, huevo, leche, miel",postre,False,True,True,True
Budín de Limón,"harina, limón, azúcar, huevo, manteca",postre,False,True,True,True
Gazpacho,"tomate, pepino, ajo, aceite de oliva, vinagre",saludable,False,False,False,False
Pizza de Coliflor,"coliflor, queso mozzarella, huevo, tomate, orégano",saludable,False,False,True,False
Tostadas de Palta,"pan integral, palta, limón, sal",saludable,False,True,False,False
Tarta de Zapallitos,"zapallitos, huevo, queso, harina",saludable,False,True,True,False
Waffles Caseros,"harina, huevo, leche, azúcar, manteca",postre,False,True,True,True
Papas al Romero,"papa, romero, ajo, aceite de oliva, sal",saludable,False,False,False,False
